epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1876.24,1.41275,1.73664,1.74862,0.56875,0.4103,0.40636,0.24443,1.4449,1.60724,1.78602,0.00030416,0.00030416,0.00030416
43,1915.09,1.43626,1.72757,1.75111,0.62506,0.35168,0.40056,0.24574,1.43016,1.55958,1.77303,0.000301408,0.000301408,0.000301408
44,1958.65,1.4077,1.72584,1.73313,0.64068,0.39221,0.42354,0.25197,1.40889,1.53626,1.74254,0.000298655,0.000298655,0.000298655
45,2003.09,1.40678,1.70019,1.72697,0.58369,0.37564,0.41592,0.25026,1.42103,1.53152,1.77375,0.000295903,0.000295903,0.000295903
46,2043.51,1.39364,1.65915,1.71603,0.6698,0.3829,0.423,0.2499,1.4134,1.51564,1.74526,0.000293151,0.000293151,0.000293151
47,2083.97,1.39157,1.67992,1.70794,0.59736,0.37883,0.43401,0.26173,1.40316,1.51264,1.76291,0.000290399,0.000290399,0.000290399
48,2128.25,1.38253,1.6674,1.71325,0.57845,0.42357,0.43749,0.27406,1.41268,1.50788,1.7662,0.000287647,0.000287647,0.000287647
49,2175.32,1.37915,1.6657,1.70458,0.63317,0.37155,0.41879,0.25484,1.405,1.51382,1.73484,0.000284894,0.000284894,0.000284894
50,2215.21,1.37737,1.65814,1.70075,0.61916,0.38156,0.43556,0.25701,1.40383,1.49078,1.75053,0.000282142,0.000282142,0.000282142
51,2259.25,1.37197,1.62834,1.68811,0.71793,0.37907,0.4323,0.26607,1.39871,1.48474,1.73034,0.00027939,0.00027939,0.00027939
52,2302.64,1.37533,1.63988,1.69231,0.63971,0.37388,0.42049,0.25665,1.39275,1.48822,1.74264,0.000276638,0.000276638,0.000276638
53,2342.15,1.35199,1.61546,1.67927,0.62007,0.40484,0.43938,0.26787,1.36346,1.47694,1.71023,0.000273886,0.000273886,0.000273886
54,2385.86,1.36596,1.61223,1.67442,0.57557,0.40168,0.43195,0.26462,1.37143,1.48834,1.71357,0.000271133,0.000271133,0.000271133
55,2429.4,1.33604,1.59518,1.66724,0.65434,0.38639,0.43167,0.26723,1.37747,1.4754,1.72161,0.000268381,0.000268381,0.000268381
56,2468.01,1.32982,1.58845,1.65348,0.64038,0.39643,0.43334,0.26539,1.37638,1.45585,1.72037,0.000265629,0.000265629,0.000265629
57,2515.77,1.34789,1.59238,1.6648,0.636,0.42927,0.47776,0.28578,1.36646,1.44817,1.71579,0.000262877,0.000262877,0.000262877
58,2560.7,1.32884,1.55806,1.642,0.63757,0.41521,0.46841,0.27718,1.35666,1.42173,1.70401,0.000260125,0.000260125,0.000260125
59,2601.33,1.33134,1.57709,1.645,0.55774,0.43667,0.4522,0.26845,1.37773,1.44521,1.713,0.000257372,0.000257372,0.000257372
60,2641.34,1.32548,1.56476,1.64164,0.62933,0.39751,0.43511,0.26546,1.35582,1.41694,1.69435,0.00025462,0.00025462,0.00025462
61,2684.51,1.308,1.54452,1.62961,0.60781,0.44484,0.45683,0.27726,1.37462,1.4086,1.69569,0.000251868,0.000251868,0.000251868
62,2726.92,1.30623,1.52384,1.62121,0.60781,0.44294,0.46142,0.27883,1.35338,1.43569,1.68968,0.000249116,0.000249116,0.000249116
63,2765.33,1.30945,1.53205,1.63942,0.61507,0.44559,0.47063,0.29196,1.3452,1.41069,1.68487,0.000246364,0.000246364,0.000246364
64,2814.51,1.30376,1.54742,1.6307,0.70583,0.40889,0.46531,0.28205,1.36003,1.4093,1.70456,0.000243611,0.000243611,0.000243611
