epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6312.56,0.86459,0.73688,1.2525,0.82261,0.84433,0.88429,0.70131,0.84183,0.61835,1.23041,0.006535,0.006535,0.006535
44,6460.11,0.84876,0.72793,1.24698,0.83868,0.84944,0.88586,0.70162,0.83771,0.61573,1.22598,0.0064525,0.0064525,0.0064525
45,6605.72,0.85464,0.72553,1.24807,0.84274,0.86101,0.88618,0.70093,0.84321,0.60733,1.23166,0.00637,0.00637,0.00637
46,6752.41,0.85624,0.71611,1.24765,0.8747,0.80846,0.88577,0.70378,0.83731,0.60562,1.22252,0.0062875,0.0062875,0.0062875
47,6895.86,0.84565,0.706,1.23691,0.88415,0.80704,0.88402,0.70059,0.83428,0.5964,1.2179,0.006205,0.006205,0.006205
48,7041.66,0.8427,0.69805,1.23691,0.85715,0.84683,0.88817,0.70192,0.84154,0.59701,1.22567,0.0061225,0.0061225,0.0061225
49,7187.08,0.83402,0.6963,1.23159,0.85507,0.85056,0.88984,0.70241,0.83893,0.5957,1.22548,0.00604,0.00604,0.00604
50,7330.96,0.83249,0.68777,1.23106,0.84835,0.84653,0.89187,0.70415,0.83914,0.59537,1.22564,0.0059575,0.0059575,0.0059575
51,7488.5,0.82451,0.67969,1.22645,0.83896,0.86242,0.88955,0.70311,0.8389,0.59632,1.2248,0.005875,0.005875,0.005875
52,7645.5,0.8344,0.68288,1.23016,0.84205,0.8606,0.89076,0.70618,0.83669,0.59115,1.22374,0.0057925,0.0057925,0.0057925
53,7802.35,0.83089,0.68648,1.22973,0.84352,0.85562,0.89012,0.70219,0.83671,0.5909,1.22129,0.00571,0.00571,0.00571
54,7960.04,0.82731,0.67421,1.22207,0.84339,0.86543,0.89315,0.70464,0.83685,0.58815,1.22276,0.0056275,0.0056275,0.0056275
55,8116,0.81277,0.66177,1.2177,0.84787,0.85993,0.89484,0.70476,0.83757,0.58301,1.223,0.005545,0.005545,0.005545
56,8273.15,0.81871,0.66742,1.21966,0.854,0.85106,0.89539,0.7055,0.83803,0.58317,1.2227,0.0054625,0.0054625,0.0054625
57,8429.67,0.8153,0.66143,1.21571,0.84585,0.8566,0.89404,0.70553,0.83334,0.58201,1.21947,0.00538,0.00538,0.00538
58,8588.28,0.81613,0.66318,1.21478,0.84532,0.85866,0.89433,0.7076,0.83434,0.58332,1.21985,0.0052975,0.0052975,0.0052975
59,8745.54,0.81221,0.65651,1.21417,0.84421,0.86537,0.89514,0.70865,0.83277,0.58146,1.21788,0.005215,0.005215,0.005215
60,8903.15,0.80737,0.6466,1.21168,0.84197,0.8723,0.89501,0.70931,0.83051,0.58048,1.21716,0.0051325,0.0051325,0.0051325
61,9060.21,0.80769,0.64676,1.21028,0.84774,0.86798,0.89455,0.70989,0.8276,0.57896,1.21517,0.00505,0.00505,0.00505
62,9217.11,0.80198,0.64212,1.20725,0.84412,0.86747,0.89319,0.71047,0.82451,0.57668,1.2117,0.0049675,0.0049675,0.0049675
63,9375.53,0.79764,0.63912,1.20429,0.84692,0.87038,0.89613,0.71306,0.82388,0.57531,1.21114,0.004885,0.004885,0.004885
64,9531.89,0.80234,0.63805,1.20597,0.84326,0.8732,0.89625,0.71313,0.82058,0.57336,1.20819,0.0048025,0.0048025,0.0048025
65,9688.73,0.79407,0.6376,1.1985,0.8411,0.87349,0.89472,0.71466,0.81926,0.57242,1.20643,0.00472,0.00472,0.00472
66,9845.89,0.79458,0.62848,1.19992,0.8425,0.87172,0.89479,0.7153,0.81959,0.5729,1.20761,0.0046375,0.0046375,0.0046375
67,10005.8,0.78992,0.62581,1.19653,0.84473,0.8707,0.8938,0.71561,0.81781,0.57256,1.20564,0.004555,0.004555,0.004555
68,10163.1,0.79696,0.6308,1.19738,0.84595,0.87184,0.89448,0.71622,0.81728,0.57234,1.20488,0.0044725,0.0044725,0.0044725
69,10320.2,0.78785,0.62205,1.1981,0.84794,0.87295,0.89421,0.7152,0.81679,0.5707,1.20408,0.00439,0.00439,0.00439
70,10477.5,0.78154,0.61294,1.19195,0.8483,0.87265,0.89463,0.71529,0.81593,0.56854,1.20312,0.0043075,0.0043075,0.0043075
71,10635.3,0.77967,0.6184,1.19023,0.86076,0.86046,0.89516,0.71537,0.81502,0.56793,1.20196,0.004225,0.004225,0.004225
72,10793.7,0.77654,0.60359,1.18773,0.85174,0.86679,0.89593,0.71548,0.81477,0.5663,1.20196,0.0041425,0.0041425,0.0041425
73,10950.5,0.77176,0.60644,1.18803,0.85585,0.86738,0.89618,0.71556,0.81488,0.56508,1.20194,0.00406,0.00406,0.00406
74,11109.2,0.77022,0.60115,1.18895,0.85453,0.86743,0.896,0.71554,0.8145,0.56447,1.2016,0.0039775,0.0039775,0.0039775
75,11264,0.76078,0.59876,1.18185,0.85296,0.86649,0.89543,0.71516,0.81459,0.56379,1.20177,0.003895,0.003895,0.003895
