epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2754.9,1.03139,1.03193,1.42597,0.79874,0.7184,0.80806,0.56863,1.00604,0.85313,1.44908,0.005842,0.005842,0.005842
44,2819.43,1.03726,1.02275,1.43137,0.76614,0.75865,0.80292,0.57066,0.99941,0.8567,1.44564,0.005743,0.005743,0.005743
45,2882.69,1.0256,1.01948,1.42254,0.78028,0.78377,0.8155,0.57235,0.98863,0.83752,1.43398,0.005644,0.005644,0.005644
46,2945.89,1.0178,1.00596,1.41696,0.75769,0.76174,0.80593,0.56028,0.98631,0.83758,1.42596,0.005545,0.005545,0.005545
47,3010.23,1.01389,1.00884,1.41392,0.79662,0.7235,0.80172,0.56339,0.98459,0.83448,1.4247,0.005446,0.005446,0.005446
48,3073.8,1.01512,0.98911,1.41283,0.77227,0.75113,0.81177,0.56757,0.97574,0.82119,1.41761,0.005347,0.005347,0.005347
49,3137.26,1.00352,0.97724,1.40612,0.7482,0.77696,0.81699,0.57694,0.97258,0.82171,1.41254,0.005248,0.005248,0.005248
50,3201,1.0015,0.97616,1.40201,0.84213,0.73184,0.82304,0.58318,0.97079,0.826,1.41088,0.005149,0.005149,0.005149
51,3263.76,1.00405,0.97403,1.39952,0.83336,0.72091,0.81595,0.57919,0.96889,0.81773,1.40828,0.00505,0.00505,0.00505
52,3326.45,1.00467,0.97253,1.39737,0.81522,0.7725,0.83095,0.59352,0.96644,0.80748,1.40618,0.004951,0.004951,0.004951
53,3389.04,0.99976,0.95805,1.3959,0.85426,0.72752,0.82696,0.58664,0.96281,0.80632,1.40523,0.004852,0.004852,0.004852
54,3453.54,0.99247,0.95319,1.39602,0.78124,0.79542,0.82437,0.57714,0.95958,0.79697,1.40281,0.004753,0.004753,0.004753
55,3516.62,0.97357,0.93985,1.3788,0.77944,0.77181,0.81883,0.57151,0.95857,0.79505,1.40163,0.004654,0.004654,0.004654
56,3579.36,0.97075,0.92987,1.37397,0.79577,0.79344,0.83486,0.59728,0.9574,0.79094,1.39689,0.004555,0.004555,0.004555
57,3643.21,0.97924,0.9327,1.37807,0.76133,0.80518,0.82884,0.59044,0.95637,0.78515,1.40091,0.004456,0.004456,0.004456
58,3705.48,0.98336,0.92947,1.37568,0.83219,0.74883,0.82912,0.58378,0.95215,0.78243,1.39351,0.004357,0.004357,0.004357
59,3769.5,0.96339,0.91659,1.36921,0.82558,0.75734,0.8324,0.58961,0.95121,0.7827,1.39113,0.004258,0.004258,0.004258
60,3832.26,0.9548,0.91174,1.3621,0.84799,0.74724,0.83633,0.59088,0.94306,0.77605,1.38278,0.004159,0.004159,0.004159
61,3895.65,0.95833,0.91427,1.36497,0.82357,0.74761,0.82665,0.59316,0.94606,0.77471,1.38711,0.00406,0.00406,0.00406
62,3958.83,0.95613,0.90144,1.36079,0.8575,0.74602,0.83176,0.59853,0.94465,0.78037,1.3849,0.003961,0.003961,0.003961
63,4021.67,0.95332,0.89463,1.35382,0.85335,0.74789,0.83897,0.59769,0.94828,0.77759,1.3862,0.003862,0.003862,0.003862
64,4085.72,0.93999,0.87818,1.34485,0.85889,0.75964,0.84221,0.5979,0.94436,0.77336,1.38223,0.003763,0.003763,0.003763
65,4151,0.9422,0.88436,1.34788,0.7911,0.81038,0.83914,0.59776,0.93843,0.76643,1.37781,0.003664,0.003664,0.003664
66,4215.72,0.93388,0.87348,1.34142,0.81591,0.78583,0.84379,0.59835,0.93661,0.76556,1.3765,0.003565,0.003565,0.003565
67,4279.55,0.92987,0.85776,1.33772,0.77693,0.80332,0.83975,0.5981,0.93314,0.75687,1.37453,0.003466,0.003466,0.003466
68,4341.83,0.93044,0.86333,1.33751,0.80638,0.7955,0.84159,0.59997,0.92871,0.7507,1.37043,0.003367,0.003367,0.003367
69,4405.25,0.92182,0.85651,1.32771,0.80703,0.81388,0.84653,0.60169,0.92718,0.74764,1.36799,0.003268,0.003268,0.003268
70,4469.29,0.91742,0.84879,1.32708,0.79962,0.80489,0.84242,0.59759,0.92498,0.75005,1.36633,0.003169,0.003169,0.003169
71,4533.27,0.91556,0.85029,1.32761,0.8453,0.76816,0.84511,0.60306,0.9231,0.74784,1.36653,0.00307,0.00307,0.00307
72,4594.95,0.91704,0.84604,1.32326,0.83494,0.78423,0.84273,0.60198,0.92309,0.747,1.36404,0.002971,0.002971,0.002971
73,4658.36,0.9123,0.84083,1.32125,0.8301,0.79523,0.84235,0.60121,0.92374,0.7458,1.36548,0.002872,0.002872,0.002872
74,4721.9,0.9123,0.83292,1.321,0.84397,0.7808,0.84133,0.5968,0.92069,0.74118,1.36351,0.002773,0.002773,0.002773
75,4785.06,0.906,0.83292,1.31665,0.78102,0.81131,0.8367,0.59207,0.91897,0.73932,1.36102,0.002674,0.002674,0.002674
76,4847.59,0.89141,0.81605,1.30503,0.83032,0.77967,0.8409,0.59959,0.91699,0.73393,1.35998,0.002575,0.002575,0.002575
77,4909.9,0.89269,0.81232,1.30945,0.85887,0.75649,0.8436,0.60299,0.91662,0.73142,1.35957,0.002476,0.002476,0.002476
78,4972.84,0.88985,0.80651,1.30519,0.79303,0.80641,0.84402,0.60468,0.91649,0.73105,1.35695,0.002377,0.002377,0.002377
79,5035.59,0.89065,0.81461,1.30778,0.78955,0.80653,0.84738,0.60642,0.9152,0.73039,1.35544,0.002278,0.002278,0.002278
80,5098.27,0.87583,0.79011,1.29425,0.84531,0.76738,0.84881,0.60671,0.91255,0.72848,1.35173,0.002179,0.002179,0.002179
81,5161.09,0.88271,0.80814,1.29946,0.85361,0.76499,0.85243,0.60822,0.90936,0.72663,1.34967,0.00208,0.00208,0.00208
82,5224.69,0.87635,0.79154,1.29627,0.83556,0.77212,0.85048,0.61128,0.90867,0.7263,1.34777,0.001981,0.001981,0.001981
