epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3500.01,1.49903,1.60966,1.74274,0.564,0.55409,0.55959,0.321,1.6462,1.76964,1.98309,0.000259121,0.000259121,0.000259121
43,3588.95,1.45685,1.58405,1.72856,0.68788,0.51067,0.58211,0.3232,1.65993,1.73218,2.00258,0.000252611,0.000252611,0.000252611
44,3670.24,1.46325,1.58233,1.72843,0.70555,0.5679,0.60952,0.34324,1.64557,1.69746,1.96728,0.000246102,0.000246102,0.000246102
45,3756.06,1.46326,1.5566,1.72122,0.65192,0.56174,0.60782,0.33309,1.64529,1.69912,1.97412,0.000239593,0.000239593,0.000239593
46,3841.54,1.45198,1.54292,1.71238,0.65246,0.53816,0.59605,0.34014,1.63914,1.66413,1.98136,0.000233084,0.000233084,0.000233084
47,3926.01,1.44939,1.52258,1.7024,0.58126,0.59969,0.60441,0.34754,1.65505,1.6801,1.97793,0.000226575,0.000226575,0.000226575
48,4007.68,1.43532,1.5349,1.70365,0.61658,0.58415,0.60788,0.34787,1.63053,1.66362,1.96792,0.000220065,0.000220065,0.000220065
49,4093.13,1.41129,1.5202,1.69415,0.65957,0.5583,0.59991,0.33497,1.65388,1.67489,1.97447,0.000213556,0.000213556,0.000213556
50,4177.07,1.42693,1.49895,1.68812,0.60011,0.58244,0.59817,0.34,1.65237,1.71675,1.96625,0.000207047,0.000207047,0.000207047
51,4262.83,1.41603,1.49445,1.67464,0.61921,0.5892,0.61083,0.34876,1.64866,1.63638,1.96374,0.000200537,0.000200537,0.000200537
52,4344.43,1.40361,1.45511,1.66657,0.68991,0.58816,0.61404,0.35502,1.62354,1.67366,1.93929,0.000194028,0.000194028,0.000194028
53,4430.81,1.40531,1.46656,1.67572,0.6716,0.56023,0.59705,0.33227,1.64335,1.66661,1.96206,0.000187519,0.000187519,0.000187519
54,4513.46,1.41763,1.46224,1.67653,0.72434,0.57423,0.62612,0.34646,1.63034,1.61371,1.94836,0.00018101,0.00018101,0.00018101
55,4598.54,1.40012,1.44903,1.66609,0.63429,0.61111,0.6238,0.37379,1.62308,1.6094,1.96085,0.0001745,0.0001745,0.0001745
56,4690.29,1.35795,1.43322,1.64636,0.6442,0.56708,0.63002,0.34543,1.619,1.61101,1.93842,0.000167991,0.000167991,0.000167991
57,4776.51,1.39206,1.42886,1.65268,0.6574,0.57291,0.61679,0.3498,1.6078,1.56941,1.92848,0.000161482,0.000161482,0.000161482
58,4860.2,1.38406,1.42003,1.652,0.65591,0.61764,0.64116,0.36107,1.59683,1.58021,1.92,0.000154973,0.000154973,0.000154973
59,4949.78,1.36666,1.41395,1.64215,0.66592,0.59069,0.63386,0.36081,1.58661,1.59258,1.90859,0.000148463,0.000148463,0.000148463
60,5033.29,1.37421,1.40777,1.6395,0.67163,0.61202,0.63399,0.36914,1.60535,1.58616,1.923,0.000141954,0.000141954,0.000141954
61,5121.11,1.36279,1.39491,1.631,0.61103,0.60447,0.62461,0.35552,1.58187,1.56041,1.8993,0.000135445,0.000135445,0.000135445
62,5206.84,1.37553,1.39914,1.63758,0.69667,0.60435,0.64611,0.36457,1.58948,1.57415,1.9083,0.000128936,0.000128936,0.000128936
63,5290.97,1.36023,1.37751,1.6267,0.67047,0.60906,0.63659,0.3691,1.58516,1.54,1.90662,0.000122426,0.000122426,0.000122426
64,5376.51,1.33891,1.35965,1.61222,0.69419,0.59187,0.63301,0.36503,1.59076,1.54609,1.90964,0.000115917,0.000115917,0.000115917
65,5461.8,1.35051,1.37534,1.61472,0.71861,0.57643,0.6369,0.35604,1.58354,1.55083,1.90917,0.000109408,0.000109408,0.000109408
66,5546.31,1.34884,1.34564,1.6122,0.67174,0.60837,0.64111,0.36771,1.58945,1.54475,1.90491,0.000102899,0.000102899,0.000102899
67,5632.18,1.33884,1.3484,1.60838,0.68661,0.61226,0.6384,0.35815,1.58738,1.53659,1.918,9.63895e-05,9.63895e-05,9.63895e-05
68,5721.43,1.32969,1.33265,1.6055,0.65252,0.6403,0.64155,0.36354,1.59168,1.53646,1.91083,8.98803e-05,8.98803e-05,8.98803e-05
69,5807.64,1.3273,1.33618,1.6027,0.67045,0.6304,0.64306,0.36771,1.59004,1.52839,1.90315,8.3371e-05,8.3371e-05,8.3371e-05
70,5894.86,1.32878,1.32687,1.59335,0.74614,0.62867,0.66553,0.37104,1.58794,1.50564,1.89606,7.68617e-05,7.68617e-05,7.68617e-05
71,5984.17,1.30406,1.19048,1.61248,0.67619,0.61851,0.63931,0.36311,1.57694,1.49681,1.89322,7.03525e-05,7.03525e-05,7.03525e-05
72,6066.04,1.26582,1.13773,1.593,0.67896,0.6026,0.64646,0.3723,1.56457,1.48231,1.8789,6.38433e-05,6.38433e-05,6.38433e-05
73,6148.48,1.25508,1.1225,1.58017,0.61999,0.63824,0.63917,0.36792,1.56605,1.47733,1.88927,5.7334e-05,5.7334e-05,5.7334e-05
74,6235.86,1.25469,1.10078,1.57447,0.72356,0.60739,0.65559,0.38119,1.5577,1.45919,1.88268,5.08248e-05,5.08248e-05,5.08248e-05
75,6316.54,1.25118,1.10032,1.571,0.75135,0.59356,0.65367,0.37521,1.55853,1.46879,1.88108,4.43155e-05,4.43155e-05,4.43155e-05
76,6398.99,1.23918,1.09047,1.56436,0.73158,0.58521,0.65505,0.37485,1.55126,1.46028,1.8769,3.78062e-05,3.78062e-05,3.78062e-05
77,6484.54,1.24016,1.08028,1.56595,0.73207,0.60486,0.66274,0.37905,1.55015,1.45339,1.87219,3.1297e-05,3.1297e-05,3.1297e-05
78,6564.27,1.23942,1.08292,1.56395,0.72678,0.60729,0.65739,0.37885,1.55378,1.44546,1.87684,2.47877e-05,2.47877e-05,2.47877e-05
79,6646.68,1.22056,1.07388,1.55886,0.73642,0.60805,0.65965,0.37886,1.54941,1.44517,1.87127,1.82785e-05,1.82785e-05,1.82785e-05
80,6729.5,1.21524,1.06348,1.55303,0.6979,0.62823,0.65573,0.38265,1.54369,1.44498,1.86803,1.17692e-05,1.17692e-05,1.17692e-05
