epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1377.39,1.64688,1.65732,1.86595,0.71315,0.55876,0.62889,0.33133,1.98829,1.74318,2.23312,0.00044316,0.00044316,0.00044316
43,1409.06,1.69078,1.63856,1.86838,0.76953,0.50261,0.63173,0.31435,1.97974,1.70899,2.21861,0.000440408,0.000440408,0.000440408
44,1439.76,1.67319,1.63158,1.85625,0.66629,0.57404,0.61664,0.3116,1.97195,1.73948,2.22695,0.000437655,0.000437655,0.000437655
45,1470.86,1.67074,1.62564,1.83933,0.64117,0.59714,0.62538,0.33095,2.00307,1.72058,2.25157,0.000434903,0.000434903,0.000434903
46,1504.16,1.62876,1.58161,1.82271,0.61077,0.55279,0.62868,0.32585,1.99573,1.71494,2.24394,0.000432151,0.000432151,0.000432151
47,1533.75,1.64892,1.59092,1.82277,0.58148,0.60631,0.63249,0.33617,1.96084,1.68765,2.20624,0.000429399,0.000429399,0.000429399
48,1568.05,1.62212,1.56425,1.80565,0.73435,0.56165,0.62866,0.32546,1.98871,1.67062,2.23799,0.000426647,0.000426647,0.000426647
49,1601.3,1.6163,1.56474,1.81246,0.65821,0.61001,0.6217,0.32722,1.99169,1.72452,2.2425,0.000423894,0.000423894,0.000423894
50,1633.01,1.58547,1.54136,1.78095,0.66055,0.59991,0.63566,0.31723,1.97176,1.70048,2.2433,0.000421142,0.000421142,0.000421142
51,1664.76,1.57991,1.53421,1.78073,0.63392,0.61093,0.65029,0.34804,1.91224,1.63426,2.17155,0.00041839,0.00041839,0.00041839
52,1696.27,1.56994,1.50245,1.76735,0.7125,0.58955,0.66277,0.35088,1.93475,1.6299,2.20503,0.000415638,0.000415638,0.000415638
53,1730.1,1.57507,1.4943,1.76717,0.58563,0.5797,0.634,0.33622,1.95742,1.62978,2.21836,0.000412886,0.000412886,0.000412886
54,1760.25,1.57771,1.47602,1.76983,0.77851,0.53462,0.66954,0.35311,1.90363,1.58474,2.16007,0.000410133,0.000410133,0.000410133
55,1794.06,1.5868,1.46831,1.7701,0.60139,0.67442,0.66198,0.34999,1.96163,1.6686,2.22488,0.000407381,0.000407381,0.000407381
56,1824.52,1.56209,1.47084,1.75268,0.60421,0.66385,0.66647,0.34636,1.96652,1.6392,2.18561,0.000404629,0.000404629,0.000404629
57,1857.02,1.60326,1.49831,1.77591,0.74433,0.6222,0.65562,0.33678,1.95705,1.61756,2.17308,0.000401877,0.000401877,0.000401877
58,1887.84,1.52983,1.45028,1.73491,0.6964,0.63524,0.66561,0.33875,1.93352,1.60591,2.19275,0.000399125,0.000399125,0.000399125
59,1923.31,1.56718,1.4289,1.73394,0.66111,0.66829,0.67769,0.35123,1.9299,1.59339,2.17897,0.000396372,0.000396372,0.000396372
60,1957.48,1.51999,1.40881,1.71317,0.59757,0.63392,0.62883,0.33522,1.94231,1.55628,2.18065,0.00039362,0.00039362,0.00039362
61,1988.47,1.53625,1.44092,1.73559,0.74416,0.6285,0.68587,0.35835,1.934,1.61883,2.20323,0.000390868,0.000390868,0.000390868
62,2022.12,1.52181,1.4104,1.72047,0.7478,0.63592,0.70282,0.36771,1.89191,1.55569,2.16593,0.000388116,0.000388116,0.000388116
63,2052.04,1.50773,1.38603,1.68979,0.71272,0.66274,0.69489,0.36682,1.9504,1.58128,2.17206,0.000385364,0.000385364,0.000385364
64,2085.21,1.51491,1.38013,1.69396,0.73792,0.66076,0.71538,0.37963,1.89552,1.53537,2.13098,0.000382611,0.000382611,0.000382611
65,2119.02,1.48591,1.36857,1.69744,0.6227,0.64228,0.66088,0.36464,1.89084,1.55208,2.1361,0.000379859,0.000379859,0.000379859
66,2150.73,1.48481,1.36791,1.69503,0.74872,0.64336,0.72282,0.38415,1.92676,1.58987,2.16076,0.000377107,0.000377107,0.000377107
67,2184.67,1.48664,1.34595,1.6749,0.68023,0.67285,0.71901,0.36835,1.90002,1.54964,2.19287,0.000374355,0.000374355,0.000374355
68,2214.62,1.51863,1.35454,1.68233,0.73428,0.67773,0.7242,0.36985,1.93827,1.55832,2.17025,0.000371603,0.000371603,0.000371603
69,2253.27,1.48766,1.34049,1.66489,0.71137,0.67134,0.70316,0.38041,1.89159,1.59286,2.16296,0.00036885,0.00036885,0.00036885
70,2283.33,1.46733,1.31481,1.66115,0.69981,0.68641,0.7084,0.36417,1.9737,1.60753,2.21777,0.000366098,0.000366098,0.000366098
71,2314.63,1.48652,1.33897,1.67962,0.65235,0.69081,0.68104,0.35755,1.94679,1.58158,2.18275,0.000363346,0.000363346,0.000363346
72,2345.08,1.50145,1.3347,1.66865,0.71046,0.67033,0.69964,0.37968,1.94744,1.54891,2.20614,0.000360594,0.000360594,0.000360594
73,2376.11,1.47175,1.31735,1.66306,0.68576,0.64882,0.70434,0.3736,1.95877,1.60846,2.21867,0.000357842,0.000357842,0.000357842
